age,sex,education,income_respondent,children_in_household,marital_status,feelings_life,has_partner
33.3,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,"Single, never married",4,0
68.9,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,8,0
36.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",Two children,Married,10,1
23.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",8,0
22.8,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,"Single, never married",10,0
53.9,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Divorced,4,0
67.9,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
44.3,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",Two children,Married,9,1
67.3,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
47.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",One child,Married,6,1
49.5,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Living common-law,9,1
67.4,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,10,0
61.9,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,7,0
60.8,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,8,1
47.3,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",One child,Married,8,1
50.3,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",7,0
77.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Widowed,10,0
64.5,Male,Trade certificate or diploma,"$75,000 to $99,999",No child,Married,8,1
62.9,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Married,7,1
52.9,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Living common-law,9,1
27.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,"Single, never married",6,0
34.5,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,"Single, never married",7,0
39.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Two children,Married,10,1
33.9,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,9,1
69.5,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
31,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,"Single, never married",5,0
80,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
47.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",5,0
66.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,7,1
34.7,Female,University certificate or diploma below the bachelor's level,"Less than $25,000",Two children,Married,10,1
29.9,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,Married,10,1
19.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",7,0
39.7,Female,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",Three or more children,Married,7,1
37.5,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,10,0
72.1,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",No child,Married,10,1
59.8,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,8,1
34.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Separated,4,0
68.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
53.7,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,8,1
54.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,10,1
70.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,9,1
66.1,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
27.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Living common-law,9,1
67.5,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,Married,10,1
80,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Widowed,5,0
26.2,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
64.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Divorced,7,0
34.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Separated,8,0
38.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Three or more children,Living common-law,10,1
58.3,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",No child,Married,9,1
55.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Divorced,6,0
56.2,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
25.9,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",7,0
26.7,Female,Trade certificate or diploma,"$25,000 to $49,999",Two children,Living common-law,7,1
52.3,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Separated,8,0
31.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Living common-law,8,1
55.4,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
44.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,7,1
29.2,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",10,0
36,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,"Single, never married",10,0
54.1,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",Three or more children,Married,9,1
35.9,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Three or more children,"Single, never married",7,0
49.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,Divorced,8,0
65.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,9,1
31.2,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",One child,Married,9,1
40.3,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,"Single, never married",5,0
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
39.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",Two children,Married,8,1
34.3,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",One child,"Single, never married",5,0
75.4,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Widowed,10,0
53.4,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",One child,Married,8,1
65.1,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Married,8,1
66.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,9,0
80,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Widowed,8,0
80,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,6,0
62.5,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Living common-law,8,1
47.6,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,"Single, never married",7,0
56.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,10,1
32.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Two children,Married,9,1
50.5,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,10,1
68.3,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Married,8,1
76.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Divorced,8,0
80,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,10,1
29.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Living common-law,7,1
31.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",7,0
25.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
74.8,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,9,1
44,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Married,10,1
55.2,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,6,1
74.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",8,0
50.7,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,5,1
29.4,Female,Trade certificate or diploma,"Less than $25,000",No child,Separated,7,0
58.9,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,8,1
35.8,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,Separated,7,0
70.2,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
70.8,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Divorced,7,0
25,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,7,0
65.8,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
28.7,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Two children,Separated,10,0
25.1,Male,University certificate or diploma below the bachelor's level,"Less than $25,000",No child,"Single, never married",8,0
24.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
69.3,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
17.7,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",10,0
66,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Widowed,7,0
80,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,5,0
46.2,Female,University certificate or diploma below the bachelor's level,"Less than $25,000",No child,"Single, never married",8,0
53.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",2,0
41.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",Two children,Divorced,10,0
48.8,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,"Single, never married",9,0
67,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,6,1
64,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
57.1,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,Divorced,9,0
78.4,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,10,0
32.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",One child,Married,10,1
53.2,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,6,1
38.8,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",Three or more children,Married,10,1
65.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,7,1
36.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Three or more children,Married,10,1
58.3,Male,Trade certificate or diploma,"Less than $25,000",No child,Divorced,10,0
17.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",9,0
53.8,Male,Trade certificate or diploma,"$125,000 and more",No child,Married,10,1
43.1,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Two children,Married,7,1
65.2,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,"Single, never married",8,0
55.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,6,1
58.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",7,0
60.2,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Married,8,1
74.1,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
33.7,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,"Single, never married",10,0
28.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Living common-law,7,1
26.8,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Living common-law,6,1
36.7,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,Married,8,1
40.7,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",7,0
18.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
67.1,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,8,1
69.6,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
68.7,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,4,0
36.8,Male,Trade certificate or diploma,"$125,000 and more",Two children,Married,8,1
79.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,8,1
16.2,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",8,0
58.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,9,1
30.3,Male,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",One child,Married,9,1
39,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Married,9,1
37.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
78,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,8,0
31.7,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,"Single, never married",7,0
29.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Three or more children,"Single, never married",8,0
38.9,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,Divorced,6,0
68.7,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
28.5,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,1,1
56.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
37.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",5,0
32.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,Living common-law,8,1
48.2,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Two children,Married,8,1
46.4,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Separated,9,0
73.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",One child,Divorced,9,0
63.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,4,1
39.2,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",Two children,Married,10,1
16.1,Male,Less than high school diploma or its equivalent,"Less than $25,000",Three or more children,"Single, never married",7,0
56.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Separated,6,0
62.7,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,8,1
65.7,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,8,1
19.5,Male,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",9,0
58.1,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
61.4,Female,University certificate or diploma below the bachelor's level,"Less than $25,000",No child,Widowed,1,0
37.9,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,Married,9,1
32.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",8,0
30.3,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Living common-law,8,1
76.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,10,0
59.4,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,10,1
61.7,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,7,1
68,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,6,0
54.9,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,3,0
65.5,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Divorced,8,0
47.3,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",7,0
51.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Divorced,7,0
80,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,8,1
40.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,9,1
21.1,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",8,0
58,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,9,1
69.2,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,10,1
26,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,"Single, never married",7,0
31.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,10,1
57.7,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
40.1,Female,Trade certificate or diploma,"$25,000 to $49,999",Two children,"Single, never married",10,0
31.4,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",One child,Married,9,1
72.7,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,6,0
55.5,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Living common-law,8,1
33.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",One child,"Single, never married",10,0
62.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,7,0
16.7,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
69.2,Male,University certificate or diploma below the bachelor's level,"Less than $25,000",No child,Divorced,8,0
49.5,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",No child,Living common-law,10,1
53.2,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,8,1
80,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Married,10,1
23.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
68.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Divorced,9,0
60.4,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",7,0
32.1,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Married,10,1
70,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,10,1
21.1,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
32.8,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",One child,Married,8,1
68.8,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
61.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Widowed,8,0
80,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
19,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",4,0
41.3,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",One child,Married,8,1
69.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,7,0
62.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",6,0
57.1,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,8,1
72.1,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
52.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,9,1
30.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",7,0
80,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,8,0
54.4,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",10,0
66.7,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",No child,Married,8,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
80,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,10,1
74,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Divorced,9,0
55.9,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,10,1
50.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,9,1
54.8,Male,Trade certificate or diploma,"$125,000 and more",No child,Married,10,1
43.3,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
73.4,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,9,1
62.6,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Married,8,1
68.1,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Married,10,1
42.6,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,"Single, never married",8,0
17.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",8,0
50,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,5,1
31.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,"Single, never married",8,0
80,Female,Trade certificate or diploma,"$50,000 to $74,999",No child,Widowed,10,0
65.3,Female,Trade certificate or diploma,"$50,000 to $74,999",No child,Divorced,8,0
50.7,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,10,1
31.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",Three or more children,Married,9,1
27.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",7,0
76.1,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
30.1,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
21.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Three or more children,"Single, never married",10,0
54.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
18.4,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",2,0
48.3,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Married,8,1
63.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,8,1
25,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,Living common-law,10,1
68.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,4,1
76.1,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,8,1
29.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",7,0
61.6,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Living common-law,9,1
65.3,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,7,1
53,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,10,1
36.6,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Three or more children,Divorced,9,0
17.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",8,0
28.7,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",10,0
51.1,Male,Trade certificate or diploma,"$75,000 to $99,999",No child,Married,8,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
67,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,9,1
49.6,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Married,10,1
40.5,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",One child,"Single, never married",7,0
59.8,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
70.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,9,1
43.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",8,0
55,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,10,1
35,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,9,1
77.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,7,1
25.3,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,7,1
61.5,Male,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",No child,Married,6,1
20.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",7,0
61.2,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,5,1
43.5,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,"Single, never married",8,0
74.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
43.6,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,Living common-law,9,1
58,Female,Trade certificate or diploma,"Less than $25,000",No child,Married,10,1
60.3,Male,Trade certificate or diploma,"$75,000 to $99,999",No child,Married,9,1
45.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Married,7,1
71.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Divorced,10,0
68,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,7,1
57.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Divorced,9,0
55.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,Living common-law,10,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
67.8,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Living common-law,8,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,8,0
52.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
69.7,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,"Single, never married",10,0
42.2,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",One child,Living common-law,9,1
65.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
16.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
15.9,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
